,rank,title,author,format,pages,rating,score,votes,release_date,new_release_date
93,94,القرآن الكريم,Anonymous,Hardcover,604 pages,"4.35 avg rating — 57,449 ratings","score: 155,447","1,683 people voted",NA,"Published
        650"
94,95,Atlas Shrugged,Ayn Rand,Paperback,1168 pages,"3.69 avg rating — 353,814 ratings","score: 154,567","1,771 people voted",(first published 1957),"Published
        August 1st 1999
         by Plume

            
              (first published 1957)"
95,96,The Brothers Karamazov,Fyodor Dostoyevsky,Paperback,796 pages,"4.32 avg rating — 243,271 ratings","score: 145,439","1,729 people voted",(first published November 18th 1879),"Published
        June 14th 2002
         by Farrar, Straus and Giroux

            
              (first published November 18th 1879)"
96,97,The Book of Mormon: Another Testament of Jesus Christ,Joseph Smith Jr.,Paperback,531 pages,"4.34 avg rating — 75,222 ratings","score: 144,664","1,522 people voted",(first published March 1st 1830),"Published
        2013
         by The Church of Jesus Christ of Latter-day Saints

            
              (first published March 1st 1830)"
97,98,The Poisonwood Bible,Barbara Kingsolver,Hardcover,546 pages,"4.06 avg rating — 658,760 ratings","score: 144,042","1,680 people voted",(first published September 24th 1998),"Published
        July 5th 2005
         by Harper Perennial Modern Classics

            
              (first published September 24th 1998)"
98,99,"Moby-Dick or, the Whale",Herman Melville,Paperback,654 pages,"3.51 avg rating — 479,125 ratings","score: 140,655","1,790 people voted",(first published October 18th 1851),"Published
        February 21st 2003
         by Penguin Classics

            
              (first published October 18th 1851)"
99,100,"I Know Why the Caged Bird Sings (Maya Angelou's Autobiography, #1)",Maya Angelou,Paperback,289 pages,"4.24 avg rating — 409,112 ratings","score: 137,512","1,685 people voted",(first published 1969),"Published
        November 1993
         by Bantam Books

            
              (first published 1969)"
100,101,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,Paperback,489 pages,"3.86 avg rating — 1,933,458 ratings","score: 128,135","1,524 people voted",(first published March 18th 2003),"Published
        March 28th 2006
         by Anchor

            
              (first published March 18th 2003)"
101,102,"The Good Earth (House of Earth, #1)",Pearl S. Buck,Paperback,418 pages,"3.99 avg rating — 223,205 ratings","score: 127,462","1,563 people voted",(first published March 2nd 1931),"Published
        March 4th 2009
         by Howard Publishing Co

            
              (first published March 2nd 1931)"
102,103,The Hiding Place: The Triumphant True Story of Corrie Ten Boom,Corrie ten Boom,Paperback,242 pages,"4.42 avg rating — 257,393 ratings","score: 126,916","1,482 people voted",(first published January 1st 1971),"Published
        October 1st 1984
         by Bantam

            
              (first published January 1st 1971)"
103,104,Great Expectations,Charles Dickens,Paperback,505 pages,"3.78 avg rating — 651,506 ratings","score: 126,853","1,573 people voted",(first published July 1861),"Published
        1998
         by Oxford University Press

            
              (first published July 1861)"
104,105,Dracula,Bram Stoker,Paperback,488 pages,"really liked it 4.00 avg rating — 938,220 ratings","score: 121,502","1,504 people voted",(first published May 26th 1897),"Published
        May 12th 1986
         by Norton

            
              (first published May 26th 1897)"
105,106,"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,Paperback,218 pages,"really liked it 4.00 avg rating — 1,051,544 ratings","score: 120,349","1,450 people voted",(first published 1962),"Published
        November 7th 2017
         by Square Fish

            
              (first published 1962)"
106,107,The Fault in Our Stars,John Green,Hardcover,313 pages,"4.21 avg rating — 3,550,743 ratings","score: 117,506","1,320 people voted",NA,"Published
        January 10th 2012
         by Dutton Books"
107,108,Matilda,Roald Dahl,Paperback,240 pages,"4.32 avg rating — 647,673 ratings","score: 114,583","1,385 people voted",(first published October 1st 1988),"Published
        June 1st 1998
         by Puffin Books

            
              (first published October 1st 1988)"
108,109,The Perks of Being a Wallflower,Stephen Chbosky,Paperback,213 pages,"4.20 avg rating — 1,250,235 ratings","score: 112,512","1,273 people voted",NA,"Published
        February 1999
         by MTV Books/Pocket Books"
109,110,"Harry Potter Series Box Set (Harry Potter, #1-7)",J.K. Rowling,Hardcover,4100 pages,"4.73 avg rating — 251,779 ratings","score: 102,036","1,176 people voted",NA,"Published
        October 1st 2007
         by Arthur A. Levine Books"
110,111,Brave New World,Aldous Huxley,Paperback,288 pages,"3.99 avg rating — 1,441,293 ratings","score: 100,065","1,176 people voted",(first published 1932),"Published
        September 1st 1998
         by HarperPerennial / Perennial Classics

            
              (first published 1932)"
111,112,Sense and Sensibility,Jane Austen,Paperback,409 pages,"4.07 avg rating — 957,599 ratings","score: 98,444","1,265 people voted",(first published October 30th 1811),"Published
        April 29th 2003
         by Penguin Books

            
              (first published October 30th 1811)"
112,113,The Princess Bride,William Goldman,Paperback,456 pages,"4.26 avg rating — 779,628 ratings","score: 92,600","1,140 people voted",(first published September 1st 1973),"Published
        July 15th 2003
         by Ballantine Books

            
              (first published September 1st 1973)"
113,114,The Iliad,Homer,Paperback,683 pages,"3.87 avg rating — 352,181 ratings","score: 91,318","1,173 people voted",(first published -750),"Published
        April 29th 1999
         by Penguin Classics

            
              (first published -750)"
114,115,East of Eden,John Steinbeck,NA,NA,"4.38 avg rating — 428,908 ratings","score: 88,582","1,064 people voted",NA,NA
115,116,The Tell-Tale Heart and Other Writings,Edgar Allan Poe,NA,NA,"4.17 avg rating — 221,645 ratings","score: 88,444","1,118 people voted",NA,NA
116,117,Where the Red Fern Grows,Wilson Rawls,NA,NA,"4.08 avg rating — 342,216 ratings","score: 87,986","1,072 people voted",NA,NA
117,118,The Lorax,Dr. Seuss,NA,NA,"4.34 avg rating — 283,395 ratings","score: 85,799","1,049 people voted",NA,NA
118,119,The Declaration of Independence and The Constitution of the United States,Founding Fathers,NA,NA,"4.44 avg rating — 20,576 ratings","score: 84,887","1,065 people voted",NA,NA
